City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Ajdabiya,LY,77.41,clear sky,30.76,20.23,فندق التوجان
483,Saint Anthony,US,81.0,scattered clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
484,Sukabumi,ID,80.01,overcast clouds,-6.92,106.93,MaxOneHotels.com @ Bounty Sukabumi
487,Tevaitoa,PF,76.77,clear sky,-16.78,-151.5,Hôtel Raiatea Lodge
492,Zhuhai,CN,82.4,few clouds,22.28,113.57,珠海粤财假日酒店
494,Katsuura,JP,82.4,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
495,Ternate,ID,79.68,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
498,Inirida,CO,85.44,broken clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
503,Iquitos,PE,86.0,scattered clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
504,Tahoua,NE,80.65,broken clouds,14.89,5.27,Bungalows Guesthouse
506,Marshfield,US,81.0,broken clouds,44.67,-90.17,Holiday Inn Conference Ctr Marshfield
507,Paita,PE,75.2,clear sky,-5.09,-81.11,Hotel Náutico de Paita
508,Kalmunai,LK,79.52,broken clouds,7.42,81.82,VS Villa
509,Chapulhuacan,MX,78.66,broken clouds,21.17,-98.9,Hotel Posada Don Mauro
514,Dosso,NE,79.09,overcast clouds,13.05,3.19,Hotel Toubal
517,Florence,IT,78.8,clear sky,43.77,11.25,Italiana Hotels Florence
520,Bac Lieu,VN,79.9,broken clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
521,Mahon,ES,78.8,clear sky,39.89,4.27,ARTIEM Capri
529,Los Llanos De Aridane,ES,78.01,few clouds,28.66,-17.92,Valle Aridane
530,Oussouye,SN,82.4,few clouds,12.48,-16.55,Auberge du Routard
533,Matara,LK,79.36,overcast clouds,5.95,80.54,Amaloh Boutique Resort
534,Khulna,BD,78.57,clear sky,22.81,89.57,Hotel Jalico
537,Maradi,NE,79.59,overcast clouds,13.5,7.1,NRC office
541,Vila Velha,BR,78.01,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
544,Nabire,ID,75.85,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
547,Cameta,BR,80.64,overcast clouds,-2.24,-49.5,Hotel San Juan
548,Surt,LY,79.2,clear sky,31.21,16.59,City Hotel
550,Labuhan,ID,75.96,few clouds,-6.88,112.21,bador sepret
552,Solano,US,89.6,clear sky,38.23,-121.95,FamCamp
557,San Quintin,MX,79.92,few clouds,30.48,-115.95,Old Mill Hotel
559,Buchanan,LR,77.0,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
565,Qui Nhon,VN,78.78,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
570,Trincomalee,LK,80.01,broken clouds,8.57,81.23,Welcombe Hotel
572,Benghazi,LY,79.3,clear sky,32.12,20.07,Tibesti Hotel
574,Takoradi,GH,75.09,broken clouds,4.88,-1.76,Raybow International Hotel
576,Oistins,BB,86.0,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
583,Porbandar,IN,81.5,overcast clouds,21.64,69.61,Lords Inn Porbandar
587,Tooele,US,87.01,clear sky,40.53,-112.3,Holiday Inn Express & Suites Tooele
590,Tezu,IN,76.26,overcast clouds,27.92,96.17,Circuit House
591,Sola,VU,79.83,overcast clouds,-13.88,167.55,Leumerus Bungalows
592,Namatanai,PG,78.06,broken clouds,-3.67,152.43,Namatanai Hotel
598,Karratha,AU,76.84,few clouds,-20.74,116.85,ibis Styles Karratha
600,Francavilla Al Mare,IT,78.8,clear sky,42.42,14.29,Park Hotel Alcione
601,Waddan,LY,79.93,clear sky,29.16,16.14,محل الشريف محمد العايب
602,West Richland,US,88.0,clear sky,46.3,-119.36,Horn Rapids RV Resort
604,Boa Vista,BR,77.0,thunderstorm with light rain,2.82,-60.67,Aipana Plaza Hotel
605,Harper,LR,76.42,scattered clouds,4.38,-7.72,Screensaver
606,Clarksburg,US,78.8,scattered clouds,39.28,-80.34,Greenbrier Motel & Restaurant
607,Nouakchott,MR,84.2,scattered clouds,18.09,-15.98,Hôtel Iman
613,Alugan,PH,79.5,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
614,Bhera,PK,83.26,clear sky,32.48,72.91,Mahar Ismail Abbas milk shop
616,Shingu,JP,76.66,clear sky,33.73,135.98,Shingu UI Hotel
618,Seabra,BR,82.4,few clouds,-12.42,-41.77,Cambuí Hotel
619,Ishigaki,JP,83.3,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
625,Kalianget,ID,79.7,few clouds,-7.05,113.93,Pesanggrahan Garam
629,Sinnamary,GF,82.44,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
630,Kasangulu,CD,77.0,scattered clouds,-4.59,15.17,Hôtel le Relais
631,Dunmore Town,BS,84.65,clear sky,25.5,-76.65,Coral Sands Hotel
634,Porto Velho,BR,84.2,thunderstorm,-8.76,-63.9,Ecos Hotel Conforto
637,Veraval,IN,80.82,heavy intensity rain,20.9,70.37,Lords Inn Somnath
639,Baghdad,IQ,86.0,clear sky,33.34,44.4,Baghdad Hotel
643,Salalah,OM,77.0,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
644,Brookings,US,80.6,scattered clouds,44.31,-96.8,Holiday Inn Express & Suites Brookings
645,Kindu,CD,75.81,broken clouds,-2.95,25.95,Hotel Karibu
648,Kurayoshi,JP,77.0,few clouds,35.43,133.82,Misasa Royal Hotel
651,Puerto Leguizamo,CO,87.57,broken clouds,-0.19,-74.78,la casona de juancho
657,Puerto Del Rosario,ES,77.0,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
659,Maceio,BR,78.8,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
660,Ashcroft,CA,80.6,broken clouds,50.72,-121.29,Ashcroft Apartments Motel
662,Crossville,US,81.0,overcast clouds,35.95,-85.03,Hampton Inn Crossville
664,Jiangyan,CN,75.0,light rain,32.51,120.14,Super 8 Taizhou Jiangyan East Luotang Road
666,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,Storyboard Beach Resort
668,Yarmouth,US,78.8,scattered clouds,41.71,-70.23,The Inn At Cape Cod
669,Yanam,IN,77.47,overcast clouds,16.73,82.22,The Regency Hotel
671,Yichang,CN,75.99,light rain,30.71,111.28,Gezhouba Hotel
672,Discovery Bay,US,87.8,haze,37.91,-121.6,Orwood Resort Inc
673,Half Moon Bay,US,75.0,scattered clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
674,Norsup,VU,75.2,overcast clouds,-16.07,167.38,Nabelchel Bungalows
675,Beira,MZ,75.2,broken clouds,-19.84,34.84,Beira Terrace Hotel
676,Ingham,US,82.0,scattered clouds,42.6,-84.38,Sunset Place
681,Srikakulam,IN,79.63,scattered clouds,18.3,83.9,Sriram residency
682,Constantine,DZ,87.8,few clouds,36.37,6.61,Grand Hotel Cirta
690,Asyut,EG,86.0,clear sky,27.18,31.18,Florence Hotel Assiut
691,Chiman,PK,80.6,smoke,32.55,73.81,Tahir Farooq Tullah House
692,General Salgado,BR,83.52,clear sky,-20.65,-50.36,TUTU HOTEL
693,Khao Yoi,TH,75.99,overcast clouds,13.24,99.82,ด.ชพัชวัฒน์ ศรีรักษา
694,Lucea,JM,89.6,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
696,Bandarbeyla,SO,75.94,clear sky,9.49,50.81,REER XOOSHLE GROUP
697,Kijang,KR,78.8,broken clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
699,Garowe,SO,75.97,scattered clouds,8.41,48.48,Curubo Hotel
700,Goderich,CA,77.0,overcast clouds,43.75,-81.72,Harmony Inn
