City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,Dingle,PH,11.0,122.67,75.52,88,100,2.68,overcast clouds
352,Upernavik,GL,72.79,-56.15,40.93,69,0,16.13,clear sky
353,Makhachkala,RU,42.98,47.5,77.0,53,67,11.18,broken clouds
354,Along,IN,28.17,94.77,71.89,90,91,1.45,overcast clouds
355,Aswan,EG,24.09,32.91,84.83,23,0,8.25,clear sky
356,Te Anau,NZ,-45.42,167.72,42.3,80,44,7.87,scattered clouds
357,Bilma,NE,18.69,12.92,94.37,31,68,10.92,broken clouds
358,Darayya,SY,33.46,36.24,71.6,49,0,4.7,light rain
359,Santiago,CL,-33.46,-70.65,55.0,62,75,4.7,broken clouds
360,Bereda,ES,43.27,-7.54,57.0,90,3,3.0,light rain
361,Tahta,EG,26.77,31.5,89.6,25,0,8.05,clear sky
